type_generateur;mode_combustion;energie_generateur;annee_installation_generateur/gte;annee_installation_generateur/lte;pn/gt;pn/lte;pn_max;rpn;rpint;qp0;pveilleuse
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;gaz_naturel|gpl;1991;2000;;;;84 + 2 * logPn;80 + 3 * logPn;0.012 * Pn;120
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;gaz_naturel|gpl;2001;2015;;;;84 + 2 * logPn;80 + 3 * logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;gaz_naturel|gpl;2016;;;;;84 + 2 * logPn;80 + 3 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
generateur_air_chaud;standard;;;2005;;300;;77;74;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;standard;;;2005;300;;300;77;74;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;standard;;2006;;;300;;84;77;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;standard;;2006;;300;;300;84;77;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;basse_temperature;;;2005;;300;;77;74;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;basse_temperature;;;2005;300;;300;77;74;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;basse_temperature;;2006;;;300;;84;77;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;basse_temperature;;2006;;300;;300;84;77;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;condensation;;2006;;;300;;90;83;Pn * (1.75 -0.55 * logPn) / 100;0
generateur_air_chaud;condensation;;2006;;300;;300;90;83;Pn * (1.75 -0.55 * logPn) / 100;0
radiateur_gaz;;;;2005;;5;;70;0;0;0
radiateur_gaz;;;;2005;5;;;73;0;0;0
radiateur_gaz;;;2006;;;5;;80;0;0;0
radiateur_gaz;;;2006;;5;;;82;0;0;0
poele_bouilleur;;bois_buche|bois_plaquette;;2011;;70;;47 + 6 * logPn;48 + 6 * logPn;0.07 * Pn * (Pn ^ -0.3);0
poele_bouilleur;;bois_buche|bois_plaquette;;2011;70;400;70;58;59;1.4;0
poele_bouilleur;;bois_buche|bois_plaquette;;2011;400;;70;58;59;0.8;0
poele_bouilleur;;bois_buche|bois_plaquette;2012;;;70;;57 + 6 * logPn;58 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
poele_bouilleur;;bois_buche|bois_plaquette;2012;;70;400;70;68;69;1.1;0
poele_bouilleur;;bois_buche|bois_plaquette;2012;;400;;70;68;69;0.5;0
poele_bouilleur;;bois_granule;;2011;;70;;47 + 6 * logPn;48 + 6 * logPn;0.08 * Pn * (Pn ^ -0.3);0
poele_bouilleur;;bois_granule;;2011;70;400;70;58;59;1.4;0
poele_bouilleur;;bois_granule;;2011;400;;70;58;59;0.8;0
poele_bouilleur;;bois_granule;2012;;;70;;67 + 6 * logPn;68 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
poele_bouilleur;;bois_granule;2012;;70;400;70;78;79;1.1;0
poele_bouilleur;;bois_granule;2012;;400;;70;78;79;0.5;0
